year,PCE,CPI,cpi.2023.factor,cpi.2022.factor,pce.2023.factor
2000,66.989,260.75,2.097618408,2.096098754,1.70540437
2001,69.236,272.7666667,2.005208359,2.003755652,1.650056811
2002,71.015,285.6333333,1.91488155,1.913494282,1.608721162
2003,73.712,297.0583333,1.841234325,1.839900412,1.549860719
2004,76.444,310.1416667,1.763561813,1.762284171,1.494470898
2005,78.874,323.225,1.692177276,1.69095135,1.448428295
2006,81.27,336.1916667,1.626911236,1.625732593,1.40572577
2007,84.278,351.0649167,1.557985358,1.55685665,1.355553446
2008,86.553,364.0715,1.502325779,1.501237394,1.319923438
2009,88.909,375.6081667,1.456182396,1.45512744,1.284946781
2010,91.152,388.4231667,1.40813949,1.40711934,1.253327775
2011,92.818,400.24125,1.366560793,1.365570765,1.230831663
2012,94.485,414.9234167,1.318204705,1.317249709,1.209116085
2013,95.793,425.1325,1.286549488,1.285617425,1.19260628
2014,96.878,435.306,1.256481647,1.255571368,1.179249503
2015,97.427,446.76175,1.224263268,1.22337633,1.172604446
2016,98.556,463.6781667,1.179598349,1.178743769,1.159171774
2017,100,475.3174167,1.150713146,1.149879493,1.142433333
2018,101.865,484.7040833,1.128428703,1.127611194,1.121517041
2019,103.663,498.4161667,1.097384147,1.096589129,1.102064703
2020,106.284,518.86975,1.054125819,1.05336214,1.074887409
2021,109.367,525.2758333,1.041270063,1.040515697,1.04458688
2022,111.994,546.55775,1.000724992,1,1.020084409
2023,114.2433333,551.634,1,,1
