age,year,brandname_tradename,cost_type,price.2023
ped,2001,acthib,cdc,11.52994806
ped,2002,acthib,cdc,13.03066373
ped,2003,acthib,cdc,13.75047957
ped,2004,acthib,cdc,13.26198483
ped,2005,acthib,cdc,12.94211582
ped,2006,acthib,cdc,12.76728425
ped,2007,acthib,cdc,12.67977512
ped,2008,acthib,cdc,12.58486749
ped,2009,acthib,cdc,12.6029386
ped,2010,acthib,cdc,12.37139518
ped,2011,acthib,cdc,12.24224476
ped,2012,acthib,cdc,12.05505446
ped,2013,acthib,cdc,11.96215335
ped,2014,acthib,cdc,11.75134816
ped,2015,acthib,cdc,11.54204466
ped,2016,acthib,cdc,11.23567427
ped,2017,acthib,cdc,10.98931054
ped,2018,acthib,cdc,10.5046792
ped,2019,acthib,cdc,10.33867311
ped,2020,acthib,cdc,10.20446499
ped,2021,acthib,cdc,10.36298285
ped,2022,acthib,cdc,10.30598283
ped,2023,acthib,cdc,10.68056044
ped,2001,acthib,private,30.57942747
ped,2002,acthib,private,29.20194364
ped,2003,acthib,private,38.05416566
ped,2004,acthib,private,38.41037629
ped,2005,acthib,private,36.88700073
ped,2006,acthib,private,36.65431015
ped,2007,acthib,private,34.39197035
ped,2008,acthib,private,32.72065547
ped,2009,acthib,private,33.09762569
ped,2010,acthib,private,33.20816907
ped,2011,acthib,private,33.19376166
ped,2012,acthib,private,33.55330733
ped,2013,acthib,private,33.55045376
ped,2014,acthib,private,32.93238397
ped,2015,acthib,private,33.51723399
ped,2016,acthib,private,28.91338142
ped,2017,acthib,private,18.12373205
ped,2018,acthib,private,18.11128068
ped,2019,acthib,private,18.11642546
ped,2020,acthib,private,18.06771654
ped,2021,acthib,private,18.35759121
ped,2022,acthib,private,18.10078375
ped,2023,acthib,private,18.87838462
adult,2009,adacel,cdc,38.81785127
adult,2010,adacel,cdc,37.06331456
adult,2011,adacel,cdc,35.87222082
adult,2012,adacel,cdc,32.9788091
adult,2013,adacel,cdc,31.16875022
adult,2014,adacel,cdc,28.64035657
adult,2015,adacel,cdc,28.19215964
adult,2016,adacel,cdc,27.81673735
adult,2017,adacel,cdc,27.91004471
adult,2018,adacel,cdc,28.10520949
adult,2019,adacel,cdc,26.87819072
adult,2020,adacel,cdc,26.66231421
adult,2021,adacel,cdc,27.46042273
adult,2022,adacel,cdc,27.3062495
adult,2023,adacel,cdc,27.99393681
adult,2009,adacel,private,54.50490708
adult,2010,adacel,private,52.70666111
adult,2011,adacel,private,53.06355559
adult,2012,adacel,private,51.89098335
adult,2013,adacel,private,52.56611467
adult,2014,adacel,private,51.59113643
adult,2015,adacel,private,51.69666904
adult,2016,adacel,private,51.21816031
adult,2017,adacel,private,49.9639648
adult,2018,adacel,private,49.92168582
adult,2019,adacel,private,49.92718005
adult,2020,adacel,private,49.33308833
adult,2021,adacel,private,49.92721175
adult,2022,adacel,private,49.35167948
adult,2023,adacel,private,52.24371703
ped,2005,adacel,cdc,52.03445124
ped,2006,adacel,cdc,50.02752051
ped,2007,adacel,cdc,48.85396944
ped,2008,adacel,cdc,47.29437116
ped,2009,adacel,cdc,44.77760868
ped,2010,adacel,cdc,39.99758325
ped,2011,adacel,cdc,40.08569566
ped,2012,adacel,cdc,39.78964688
ped,2013,adacel,cdc,39.12396993
ped,2014,adacel,cdc,38.05827679
ped,2015,adacel,cdc,38.06611197
ped,2016,adacel,cdc,37.00400021
ped,2017,adacel,cdc,35.77111944
ped,2018,adacel,cdc,34.88506335
ped,2019,adacel,cdc,34.6086018
ped,2020,adacel,cdc,34.16738017
ped,2021,adacel,cdc,34.39309297
ped,2022,adacel,cdc,34.11511087
ped,2023,adacel,cdc,35.36403297
ped,2005,adacel,private,60.49533762
ped,2006,adacel,private,58.16207669
ped,2007,adacel,private,57.28712161
ped,2008,adacel,private,56.23205391
ped,2009,adacel,private,54.50490708
ped,2010,adacel,private,52.70666111
ped,2011,adacel,private,53.06355559
ped,2012,adacel,private,52.61599594
ped,2013,adacel,private,52.56611467
ped,2014,adacel,private,51.59113643
ped,2015,adacel,private,51.69666904
ped,2016,adacel,private,51.21816031
ped,2017,adacel,private,49.9639648
ped,2018,adacel,private,49.92168582
ped,2019,adacel,private,49.92718005
ped,2020,adacel,private,49.33308833
ped,2021,adacel,private,50.12674083
ped,2022,adacel,private,49.93685341
ped,2023,adacel,private,52.24371703
adult,2015,bexsero,cdc,149.7886108
adult,2016,bexsero,cdc,137.467313
adult,2017,bexsero,cdc,122.1289197
adult,2018,bexsero,cdc,119.7375697
adult,2019,bexsero,cdc,114.0550657
adult,2020,bexsero,cdc,111.118565
adult,2021,bexsero,cdc,113.6602399
adult,2022,bexsero,cdc,114.9849484
adult,2023,bexsero,cdc,122.7398956
adult,2015,bexsero,private,196.8003203
adult,2016,bexsero,private,189.6204346
adult,2017,bexsero,private,184.9771382
adult,2018,bexsero,private,185.642022
adult,2019,bexsero,private,186.0216869
adult,2020,bexsero,private,183.7089355
adult,2021,bexsero,private,198.5502767
adult,2022,bexsero,private,196.6887307
adult,2023,bexsero,private,210.4680522
ped,2015,bexsero,cdc,150.5231688
ped,2016,bexsero,cdc,133.0721749
ped,2017,bexsero,cdc,120.3876093
ped,2018,bexsero,cdc,125.020042
ped,2019,bexsero,cdc,127.6195055
ped,2020,bexsero,cdc,123.6621351
ped,2021,bexsero,cdc,131.7581258
ped,2022,bexsero,cdc,133.5130389
ped,2023,bexsero,cdc,140.0494396
ped,2015,bexsero,private,196.8003203
ped,2016,bexsero,private,189.6204346
ped,2017,bexsero,private,184.9771382
ped,2018,bexsero,private,185.642022
ped,2019,bexsero,private,186.0216869
ped,2020,bexsero,private,183.7089355
ped,2021,bexsero,private,198.5502767
ped,2022,bexsero,private,199.0779616
ped,2023,bexsero,private,210.4680522
adult,2009,boostrix,cdc,38.55970985
